sh snmp-server oidlist

-------------------------------------------------
[0]     1.3.6.1.2.1.1.1.        sysDescr
[1]     1.3.6.1.2.1.1.2.        sysObjectID
[2]     1.3.6.1.2.1.1.3.        sysUpTime
[3]     1.3.6.1.2.1.1.4.        sysContact
[4]     1.3.6.1.2.1.1.5.        sysName
[5]     1.3.6.1.2.1.1.6.        sysLocation
[6]     1.3.6.1.2.1.1.7.        sysServices
[7]     1.3.6.1.2.1.1.8.        sysORLastChange
[8]     1.3.6.1.2.1.1.9.1.2.    sysORID
[9]     1.3.6.1.2.1.1.9.1.3.    sysORDescr
[10]    1.3.6.1.2.1.1.9.1.4.    sysORUpTime
[11]    1.3.6.1.2.1.2.1.        ifNumber
[12]    1.3.6.1.2.1.2.2.1.1.    ifIndex
[13]    1.3.6.1.2.1.2.2.1.2.    ifDescr
[14]    1.3.6.1.2.1.2.2.1.3.    ifType
[15]    1.3.6.1.2.1.2.2.1.4.    ifMtu
[16]    1.3.6.1.2.1.2.2.1.5.    ifSpeed
[17]    1.3.6.1.2.1.2.2.1.6.    ifPhysAddress
[18]    1.3.6.1.2.1.2.2.1.7.    ifAdminStatus
[19]    1.3.6.1.2.1.2.2.1.8.    ifOperStatus
[20]    1.3.6.1.2.1.2.2.1.9.    ifLastChange
[21]    1.3.6.1.2.1.2.2.1.10.   ifInOctets
[22]    1.3.6.1.2.1.2.2.1.11.   ifInUcastPkts
[23]    1.3.6.1.2.1.2.2.1.12.   ifInNUcastPkts
[24]    1.3.6.1.2.1.2.2.1.13.   ifInDiscards
[25]    1.3.6.1.2.1.2.2.1.14.   ifInErrors
[26]    1.3.6.1.2.1.2.2.1.16.   ifOutOctets
[27]    1.3.6.1.2.1.2.2.1.17.   ifOutUcastPkts
[28]    1.3.6.1.2.1.2.2.1.18.   ifOutNUcastPkts
[29]    1.3.6.1.2.1.2.2.1.19.   ifOutDiscards
[30]    1.3.6.1.2.1.2.2.1.20.   ifOutErrors
[31]    1.3.6.1.2.1.2.2.1.21.   ifOutQLen
[32]    1.3.6.1.2.1.2.2.1.22.   ifSpecific
[33]    1.3.6.1.2.1.4.1.        ipForwarding
[34]    1.3.6.1.2.1.4.20.1.1.   ipAdEntAddr
[35]    1.3.6.1.2.1.4.20.1.2.   ipAdEntIfIndex
[36]    1.3.6.1.2.1.4.20.1.3.   ipAdEntNetMask
[37]    1.3.6.1.2.1.4.20.1.4.   ipAdEntBcastAddr
[38]    1.3.6.1.2.1.4.20.1.5.   ipAdEntReasmMaxSize
[39]    1.3.6.1.2.1.11.1.       snmpInPkts
[40]    1.3.6.1.2.1.11.2.       snmpOutPkts
[41]    1.3.6.1.2.1.11.3.       snmpInBadVersions
[42]    1.3.6.1.2.1.11.4.       snmpInBadCommunityNames
[43]    1.3.6.1.2.1.11.5.       snmpInBadCommunityUses
[44]    1.3.6.1.2.1.11.6.       snmpInASNParseErrs
[45]    1.3.6.1.2.1.11.8.       snmpInTooBigs
[46]    1.3.6.1.2.1.11.9.       snmpInNoSuchNames
[47]    1.3.6.1.2.1.11.10.      snmpInBadValues
[48]    1.3.6.1.2.1.11.11.      snmpInReadOnlys
